decimalyear,pco2atm
2004.416667,375.570965
2004.5,375.714681
2004.583333,375.862145
2004.666667,376.013428
2004.75,376.168365
2004.833333,376.326792
2004.916667,376.488545
2005,376.65346
2005.083333,376.821374
2005.166667,376.992122
2005.25,377.165541
2005.333333,377.341466
2005.416667,377.519733
2005.5,377.700179
2005.583333,377.882548
2005.666667,378.066216
2005.75,378.250466
2005.833333,378.434582
2005.916667,378.617848
2006,378.799548
2006.083333,378.978966
2006.166667,379.155386
2006.25,379.32809
2006.333333,379.496365
2006.416667,379.659492
2006.5,379.816756
2006.583333,379.967773
2006.666667,380.113489
2006.75,380.255183
2006.833333,380.394133
2006.916667,380.531617
2007,380.668914
2007.083333,380.807302
2007.166667,380.948059
2007.25,381.092464
2007.333333,381.241795
2007.416667,381.397331
2007.5,381.560349
2007.583333,381.731626
2007.666667,381.909925
2007.75,382.093507
2007.833333,382.280633
2007.916667,382.469563
2008,382.658559
2008.083333,382.845881
2008.166667,383.02979
2008.25,383.208547
2008.333333,383.380412
2008.416667,383.543647
2008.5,383.696512
2008.583333,383.837906
2008.666667,383.969274
2008.75,384.092702
2008.833333,384.210272
2008.916667,384.324068
2009,384.436175
2009.083333,384.548676
2009.166667,384.663655
2009.25,384.783195
2009.333333,384.909381
2009.416667,385.044297
2009.5,385.190026
2009.583333,385.348022
2009.666667,385.517219
2009.75,385.695921
2009.833333,385.882433
2009.916667,386.075057
2010,386.272099
2010.083333,386.471862
2010.166667,386.672651
2010.25,386.872768
2010.333333,387.07052
2010.416667,387.264208
2010.5,387.452138
2010.583333,387.633003
2010.666667,387.807063
2010.75,387.974965
2010.833333,388.137358
2010.916667,388.29489
2011,388.44821
2011.083333,388.597967
2011.166667,388.744807
2011.25,388.889382
2011.333333,389.032337
2011.416667,389.174323
2011.5,389.315988
2011.583333,389.458017
2011.666667,389.601243
2011.75,389.746539
2011.833333,389.894774
2011.916667,390.04682
2012,390.203547
2012.083333,390.365827
2012.166667,390.53453
2012.25,390.710527
2012.333333,390.894689
2012.416667,391.087887
2012.5,391.290991
2012.583333,391.504409
2012.666667,391.726691
2012.75,391.955923
2012.833333,392.190192
2012.916667,392.427583
2013,392.666183
2013.083333,392.904079
2013.166667,393.139357
2013.25,393.370102
2013.333333,393.594402
2013.416667,393.810342
2013.5,394.016009
2013.583333,394.210033
2013.666667,394.393216
2013.75,394.566904
2013.833333,394.732444
2013.916667,394.891182
2014,395.044464
2014.083333,395.193636
2014.166667,395.340044
2014.25,395.485035
2014.333333,395.629954
2014.416667,395.776149
2014.5,395.924964
2014.583333,396.077654
2014.666667,396.235103
2014.75,396.398105
2014.833333,396.56745
2014.916667,396.743931
2015,396.92834
2015.083333,397.121471
2015.166667,397.324114
2015.25,397.537062
2015.333333,397.761107
2015.416667,397.997042
2015.5,398.245659
2015.583333,398.507218
2015.666667,398.779845
2015.75,399.061136
2015.833333,399.348685
2015.916667,399.640088
2016,399.932939
2016.083333,400.224834
2016.166667,400.513366
2016.25,400.796132
2016.333333,401.070725
2016.416667,401.334741
2016.5,401.585774
2016.583333,401.822016
2016.666667,402.044046
2016.75,402.253037
2016.833333,402.450167
2016.916667,402.636608
2017,402.813537
2017.083333,402.982129
2017.166667,403.143558
2017.25,403.299
2017.333333,403.449629
2017.416667,403.596621
2017.5,403.74115
2017.583333,403.884392
2017.666667,404.027522
2017.75,404.171715
2017.833333,404.318145
2017.916667,404.467988
