decimalyear,pco2atm
2006.416667,370.5771
2006.5,370.7334
2006.583333,370.8837
2006.666667,371.0288
2006.75,371.1701
2006.833333,371.3089
2006.916667,371.4463
2007,371.5837
2007.083333,371.7223
2007.166667,371.8634
2007.25,372.0084
2007.333333,372.1583
2007.416667,372.3146
2007.5,372.4785
2007.583333,372.6507
2007.666667,372.8299
2007.75,373.0142
2007.833333,373.2019
2007.916667,373.3909
2008,373.5795
2008.083333,373.7657
2008.166667,373.9478
2008.25,374.1238
2008.333333,374.2919
2008.416667,374.4502
2008.5,374.5969
2008.583333,374.7307
2008.666667,374.8534
2008.75,374.967
2008.833333,375.074
2008.916667,375.1766
2009,375.277
2009.083333,375.3775
2009.166667,375.4803
2009.25,375.5879
2009.333333,375.7023
2009.416667,375.8259
2009.5,375.961
2009.583333,376.1092
2009.666667,376.2694
2009.75,376.44
2009.833333,376.6194
2009.916667,376.8059
2010,376.9978
2010.083333,377.1935
2010.166667,377.3913
2010.25,377.5896
2010.333333,377.7867
2010.416667,377.9809
2010.5,378.1706
2010.583333,378.3545
2010.666667,378.5326
2010.75,378.7053
2010.833333,378.873
2010.916667,379.036
2011,379.1947
2011.083333,379.3496
2011.166667,379.5009
2011.25,379.6491
2011.333333,379.7945
2011.416667,379.9375
2011.5,380.0786
2011.583333,380.2181
2011.666667,380.3571
2011.75,380.4966
2011.833333,380.6377
2011.916667,380.7815
2012,380.929
2012.083333,381.0814
2012.166667,381.2397
2012.25,381.405
2012.333333,381.5784
2012.416667,381.7609
2012.5,381.9536
2012.583333,382.1572
2012.666667,382.37
2012.75,382.5903
2012.833333,382.816
2012.916667,383.0452
2013,383.2759
2013.083333,383.5061
2013.166667,383.734
2013.25,383.9576
2013.333333,384.1748
2013.416667,384.3839
2013.5,384.5827
2013.583333,384.7698
2013.666667,384.9462
2013.75,385.1129
2013.833333,385.2713
2013.916667,385.4227
2014,385.5684
2014.083333,385.7096
2014.166667,385.8476
2014.25,385.9838
2014.333333,386.1193
2014.416667,386.2555
2014.5,386.3937
2014.583333,386.5351
2014.666667,386.6807
2014.75,386.8313
2014.833333,386.9879
2014.916667,387.1513
2015,387.3226
2015.083333,387.5026
2015.166667,387.6922
2015.25,387.8924
2015.333333,388.104
2015.416667,388.3279
2015.5,388.5651
2015.583333,388.8159
2015.666667,389.0785
2015.75,389.3503
2015.833333,389.629
2015.916667,389.9121
2016,390.1972
2016.083333,390.4818
2016.166667,390.7635
2016.25,391.0399
2016.333333,391.3085
2016.416667,391.5669
2016.5,391.8126
2016.583333,392.0438
2016.666667,392.2613
2016.75,392.4665
2016.833333,392.6607
2016.916667,392.8453
2017,393.0217
2017.083333,393.1912
2017.166667,393.3553
2017.25,393.5153
2017.333333,393.6726
2017.416667,393.8285
2017.5,393.9845
2017.583333,394.1419
2017.666667,394.3022
2017.75,394.4666
2017.833333,394.6365
2017.916667,394.8134
